study_word,test,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
,bo_t_e,bottle,"[-0.2557142857142857, -0.03428571428571429]","[-0.29714285714285715, -0.31]","[1, 1]","[0, 0]","[0, 0]","[0.3127766000106931, 5.2239158999873325]",['text_3'],kashvi,1,2023-10-03_14h28.16.052,Lab5,2023.1.3,60.08665698
,c_m_r_,camera,[-0.03428571428571429],[-0.31],[1],[0],[0],[5.103395299986005],['text_3'],kashvi,1,2023-10-03_14h28.16.052,Lab5,2023.1.3,60.08665698
,_oo_,book,[-0.03428571428571429],[-0.31],[1],[0],[0],[3.0903839000093285],['text_3'],kashvi,1,2023-10-03_14h28.16.052,Lab5,2023.1.3,60.08665698
,t_g_r,tiger,[0.041428571428571426],[-0.2985714285714286],[1],[0],[0],[4.018242399994051],['text_3'],kashvi,1,2023-10-03_14h28.16.052,Lab5,2023.1.3,60.08665698
,_ho_e,chore,[0.041428571428571426],[-0.2985714285714286],[1],[0],[0],[4.1711620000132825],['text_3'],kashvi,1,2023-10-03_14h28.16.052,Lab5,2023.1.3,60.08665698
,a_p_e,apple,[0.041428571428571426],[-0.2985714285714286],[1],[0],[0],[4.2882123999879695],['text_3'],kashvi,1,2023-10-03_14h28.16.052,Lab5,2023.1.3,60.08665698
,_p_a_d_,,[],[],[],[],[],[],[],kashvi,1,2023-10-03_14h28.16.052,Lab5,2023.1.3,60.08665698
,_ru_is_,cruise,[0.041428571428571426],[-0.2985714285714286],[1],[0],[0],[4.058444900001632],['text_3'],kashvi,1,2023-10-03_14h28.16.052,Lab5,2023.1.3,60.08665698
,c_s_,case,[0.041428571428571426],[-0.2985714285714286],[1],[0],[0],[2.7901196999882814],['text_3'],kashvi,1,2023-10-03_14h28.16.052,Lab5,2023.1.3,60.08665698
,t_hi_t,tshirt,[0.041428571428571426],[-0.2985714285714286],[1],[0],[0],[4.072237400017912],['text_3'],kashvi,1,2023-10-03_14h28.16.052,Lab5,2023.1.3,60.08665698
,o_a_n_e,orange,[0.041428571428571426],[-0.2985714285714286],[1],[0],[0],[3.5023403000086546],['text_3'],kashvi,1,2023-10-03_14h28.16.052,Lab5,2023.1.3,60.08665698
,p_n_s,pants,[0.041428571428571426],[-0.2985714285714286],[1],[0],[0],[3.12394150000182],['text_3'],kashvi,1,2023-10-03_14h28.16.052,Lab5,2023.1.3,60.08665698
,b_na_a,banana,[0.041428571428571426],[-0.2985714285714286],[1],[0],[0],[2.8036623999942094],['text_3'],kashvi,1,2023-10-03_14h28.16.052,Lab5,2023.1.3,60.08665698
